Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,7760.000000,8190.000000,7760.000000,8120.000000,6474.561035,31550500
2017-01-08,8120.000000,8150.000000,7920.000000,7920.000000,6315.089844,69822000
2017-01-15,7920.000000,8180.000000,7880.000000,8100.000000,6458.614258,44061000
2017-01-22,8010.000000,8400.000000,7915.000000,8340.000000,6649.980469,28408500
2017-01-29,8260.000000,8400.000000,8210.000000,8400.000000,6697.822266,30965500
2017-02-05,8270.000000,8580.000000,8255.000000,8520.000000,6793.505859,53797000
2017-02-12,8535.000000,8575.000000,8440.000000,8520.000000,6793.505859,24191000
2017-02-19,8570.000000,8580.000000,8410.000000,8450.000000,6737.690430,17252000
2017-02-26,8460.000000,8565.000000,8365.000000,8395.000000,6693.835449,31670000
2017-03-05,8395.000000,8500.000000,8370.000000,8460.000000,6745.664063,21428000
2017-03-12,8410.000000,8840.000000,8375.000000,8800.000000,7016.765625,42018000
2017-03-19,8780.000000,8800.000000,8440.000000,8630.000000,6881.214844,48101500
2017-03-26,8670.000000,8800.000000,8550.000000,8665.000000,6909.122070,31540500
2017-04-02,8680.000000,9080.000000,8680.000000,9020.000000,7192.185059,39774500
2017-04-09,9040.000000,9100.000000,8980.000000,9065.000000,7228.065918,15988000
2017-04-16,9065.000000,9120.000000,8900.000000,9105.000000,7259.960449,24347500
2017-04-23,9105.000000,9160.000000,8865.000000,8900.000000,7096.501953,35406000
2017-04-30,8900.000000,9170.000000,8900.000000,9095.000000,7251.987305,46536000
2017-05-07,9150.000000,9405.000000,9105.000000,9360.000000,7463.287598,58801000
2017-05-14,9370.000000,10005.000000,9360.000000,9750.000000,7774.258301,58658000
2017-05-21,9900.000000,9900.000000,9430.000000,9540.000000,7606.812012,47353000
2017-05-28,9560.000000,9580.000000,9200.000000,9380.000000,7479.234375,45453500
2017-06-04,9350.000000,9620.000000,9315.000000,9510.000000,7582.891602,21872000
2017-06-11,9540.000000,9795.000000,9440.000000,9560.000000,7622.759277,39290000
2017-06-18,9530.000000,9900.000000,9440.000000,9760.000000,7782.231934,26711000
2017-06-25,9760.000000,9760.000000,9760.000000,9760.000000,7782.231934,0
2017-07-02,9900.000000,9905.000000,9560.000000,9620.000000,7670.601563,38385000
2017-07-09,9620.000000,9720.000000,9305.000000,9720.000000,8136.176270,34032500
2017-07-16,9715.000000,9715.000000,9435.000000,9545.000000,7989.691406,31802000
2017-07-23,9580.000000,9720.000000,9465.000000,9675.000000,8098.509277,47144000
2017-07-30,9620.000000,9910.000000,9505.000000,9515.000000,7964.581055,54860000
2017-08-06,9500.000000,9620.000000,9385.000000,9500.000000,7952.024414,41864500
2017-08-13,9550.000000,9900.000000,9535.000000,9895.000000,8282.661133,29913500
2017-08-20,9895.000000,10095.000000,9615.000000,9990.000000,8362.180664,39093500
2017-08-27,9985.000000,10200.000000,9950.000000,10110.000000,8462.628906,40024000
2017-09-03,10110.000000,10240.000000,10080.000000,10160.000000,8504.481445,31350500
2017-09-10,10120.000000,10350.000000,10080.000000,10185.000000,8525.408203,37123500
2017-09-17,10185.000000,10285.000000,9975.000000,10000.000000,8370.552734,35991000
2017-09-24,10000.000000,10090.000000,9795.000000,9795.000000,8198.955078,51426000
2017-10-01,9840.000000,10235.000000,9840.000000,9995.000000,8366.366211,43094500
2017-10-08,10000.000000,10055.000000,9720.000000,9850.000000,8244.993164,46383500
2017-10-15,9840.000000,10040.000000,9710.000000,9910.000000,8295.216797,46498500
2017-10-22,9910.000000,9960.000000,9810.000000,9830.000000,8228.251953,45487000
2017-10-29,9830.000000,9990.000000,9780.000000,9975.000000,8349.625977,43180000
2017-11-05,9840.000000,9960.000000,9810.000000,9835.000000,8232.437500,36458500
2017-11-12,9830.000000,10000.000000,9785.000000,9930.000000,8311.958008,49442000
2017-11-19,9895.000000,9980.000000,9800.000000,9960.000000,8337.069336,42922000
2017-11-26,9960.000000,10200.000000,9860.000000,9860.000000,8253.364258,71278500
2017-12-03,9860.000000,10180.000000,9815.000000,10180.000000,8883.826172,42886000
2017-12-10,10190.000000,10500.000000,10100.000000,10425.000000,9097.631836,52286500
2017-12-17,10430.000000,10835.000000,10265.000000,10825.000000,9446.702148,70501500
2017-12-24,10825.000000,11195.000000,10610.000000,11180.000000,9756.500977,43168000
2017-12-31,11180.000000,11620.000000,10635.000000,10800.000000,9424.885742,44448000
2018-01-07,10800.000000,10940.000000,10700.000000,10850.000000,9468.518555,43629500
2018-01-14,10850.000000,11000.000000,10850.000000,10890.000000,9503.426758,59268000
2018-01-21,10890.000000,11155.000000,10860.000000,10910.000000,9520.879883,44043000
2018-01-28,11000.000000,11140.000000,10500.000000,11005.000000,9603.784180,59799500
2018-02-04,10790.000000,11080.000000,10700.000000,11080.000000,9669.234375,75593000
2018-02-11,11040.000000,11110.000000,10855.000000,10910.000000,9520.879883,35915500
2018-02-18,10900.000000,11000.000000,10790.000000,10890.000000,9503.426758,50283000
2018-02-25,10890.000000,10920.000000,10745.000000,10780.000000,9407.431641,56477500
2018-03-04,10900.000000,10900.000000,10040.000000,10110.000000,8822.739258,71074000
2018-03-11,10165.000000,10205.000000,9830.000000,9940.000000,8674.384766,61746000
2018-03-18,9940.000000,10360.000000,9870.000000,10195.000000,8896.916992,40049000
2018-03-25,10200.000000,10245.000000,9795.000000,9905.000000,8643.841797,33414500
2018-04-01,10030.000000,10160.000000,9810.000000,10155.000000,8862.008789,23451500
2018-04-08,10155.000000,10500.000000,10040.000000,10040.000000,8761.652344,32148500
2018-04-15,10040.000000,10380.000000,10040.000000,10315.000000,9001.637695,7122000
2018-04-22,10220.000000,10220.000000,9600.000000,9600.000000,8377.675781,47307000
2018-04-29,9230.000000,9470.000000,8980.000000,9070.000000,7915.159180,32329000
2018-05-06,9160.000000,9925.000000,9160.000000,9800.000000,8552.210938,60448000
2018-05-13,9800.000000,9805.000000,9060.000000,9235.000000,8059.149902,62625500
2018-05-20,9255.000000,9645.000000,9160.000000,9360.000000,8168.233887,40879000
2018-05-27,9360.000000,9590.000000,9080.000000,9120.000000,7958.792480,59338500
2018-06-03,9120.000000,9380.000000,9080.000000,9080.000000,7923.884766,66614500
2018-06-10,9080.000000,9080.000000,9080.000000,9080.000000,8388.373047,0
2018-06-17,9080.000000,9220.000000,8775.000000,8840.000000,8166.653809,59364500
2018-06-24,8860.000000,9220.000000,8780.000000,9220.000000,8517.709961,52888000
2018-07-01,9180.000000,9340.000000,8810.000000,9150.000000,8453.041016,28861000
2018-07-08,9240.000000,9525.000000,9115.000000,9380.000000,8665.522461,30088500
2018-07-15,9460.000000,9470.000000,8840.000000,8840.000000,8166.653809,31240500
2018-07-22,8840.000000,8975.000000,8715.000000,8865.000000,8189.750000,35219500
2018-07-29,8880.000000,9045.000000,8530.000000,8990.000000,8305.228516,56512500
2018-08-05,8990.000000,9035.000000,8580.000000,8710.000000,8046.556152,61535500
2018-08-12,8710.000000,8710.000000,8080.000000,8505.000000,7857.170898,53749000
2018-08-19,8520.000000,8700.000000,8400.000000,8600.000000,7944.934570,35933500
2018-08-26,8600.000000,8920.000000,8560.000000,8770.000000,8101.985840,45637000
2018-09-02,8790.000000,8910.000000,8200.000000,8895.000000,8217.464844,58402500
2018-09-09,8895.000000,9445.000000,8750.000000,9420.000000,8702.474609,67237000
2018-09-16,9420.000000,9430.000000,9000.000000,9415.000000,8697.856445,53150500
2018-09-23,9420.000000,9440.000000,9195.000000,9405.000000,8688.617188,44453000
2018-09-30,9305.000000,9440.000000,8460.000000,8535.000000,7884.885254,47620000
2018-10-07,8560.000000,9040.000000,8560.000000,8860.000000,8185.129883,42987500
2018-10-14,8935.000000,9145.000000,8720.000000,8970.000000,8286.750977,38313000
2018-10-21,8970.000000,9030.000000,8440.000000,8835.000000,8162.034668,45727500
2018-10-28,8880.000000,8960.000000,8405.000000,8545.000000,7894.124512,80134500
2018-11-04,8545.000000,8680.000000,8025.000000,8065.000000,7450.686035,128391000
2018-11-11,8100.000000,8370.000000,7780.000000,8295.000000,7663.166504,93036500
2018-11-18,8360.000000,8450.000000,8000.000000,8430.000000,8196.722656,45233000
2018-11-25,8430.000000,8500.000000,8100.000000,8450.000000,8216.168945,61910000
2018-12-02,8550.000000,8840.000000,8550.000000,8800.000000,8556.484375,68352500
2018-12-09,8800.000000,8930.000000,8730.000000,8900.000000,8653.716797,45924500
2018-12-16,8900.000000,9320.000000,8535.000000,9320.000000,9062.094727,55808500
2018-12-23,9320.000000,9360.000000,9005.000000,9080.000000,8828.736328,28101000
2018-12-30,9080.000000,9080.000000,9080.000000,9080.000000,8828.736328,0
