Date,Open,High,Low,Close,Adj Close,Volume
2017-09-03,18975.000000,19100.000000,18675.000000,18850.000000,18038.251953,53446600
2017-09-10,18975.000000,19150.000000,18825.000000,18875.000000,18062.175781,63956800
2017-09-17,19000.000000,19975.000000,18825.000000,19875.000000,19019.113281,58547200
2017-09-24,19750.000000,20375.000000,19600.000000,20300.000000,19425.812500,121992700
2017-10-01,20550.000000,20600.000000,20075.000000,20450.000000,19569.353516,84709000
2017-10-08,20300.000000,20950.000000,20200.000000,20675.000000,19784.660156,69485400
2017-10-15,20800.000000,21050.000000,20050.000000,20350.000000,19473.658203,84847100
2017-10-22,20650.000000,21375.000000,20200.000000,20300.000000,19425.812500,68136400
2017-10-29,20325.000000,21625.000000,20300.000000,21025.000000,20119.589844,80581000
2017-11-05,21200.000000,21200.000000,20600.000000,20650.000000,19760.736328,55941200
2017-11-12,20525.000000,21200.000000,20400.000000,21175.000000,20263.128906,78919300
2017-11-19,21175.000000,21275.000000,20775.000000,21000.000000,20095.666016,73641600
2017-11-26,20825.000000,21325.000000,20350.000000,20350.000000,19473.658203,92969300
2017-12-03,20825.000000,21375.000000,20650.000000,21125.000000,20291.494141,81503300
2017-12-10,21250.000000,21250.000000,20850.000000,21100.000000,20267.480469,60427800
2017-12-17,20900.000000,21675.000000,20850.000000,21500.000000,20651.699219,82332800
2017-12-24,21500.000000,22750.000000,21400.000000,21900.000000,21035.916016,54907400
2017-12-31,21900.000000,22525.000000,21325.000000,22250.000000,21372.105469,58470500
2018-01-07,22250.000000,22725.000000,22225.000000,22425.000000,21540.203125,58118500
2018-01-14,22450.000000,22700.000000,22150.000000,22450.000000,21564.214844,82072800
2018-01-21,22550.000000,22850.000000,22425.000000,22700.000000,21804.351563,71229700
2018-01-28,22800.000000,24700.000000,22550.000000,23975.000000,23029.046875,114470900
2018-02-04,23750.000000,24025.000000,23300.000000,23575.000000,22644.826172,85715100
2018-02-11,23800.000000,23925.000000,23450.000000,23450.000000,22524.759766,45265400
2018-02-18,23675.000000,24475.000000,23650.000000,24250.000000,23293.193359,55392900
2018-02-25,24150.000000,24225.000000,22750.000000,22875.000000,21972.447266,116502300
2018-03-04,23150.000000,23400.000000,22525.000000,23300.000000,22380.679688,87918900
2018-03-11,23400.000000,23700.000000,23000.000000,23350.000000,22428.705078,100045100
2018-03-18,23300.000000,23800.000000,23000.000000,23800.000000,22860.953125,71054100
2018-03-25,23400.000000,23775.000000,22825.000000,23300.000000,22380.679688,56071600
2018-04-01,23450.000000,23500.000000,22600.000000,22725.000000,21828.365234,42752700
2018-04-08,22850.000000,23650.000000,22575.000000,22900.000000,21996.460938,57714900
2018-04-15,22900.000000,22975.000000,22725.000000,22975.000000,22236.595703,8743200
2018-04-22,23200.000000,23200.000000,22875.000000,22925.000000,22188.205078,23691900
2018-04-29,21500.000000,22900.000000,21450.000000,22025.000000,21317.130859,77119600
2018-05-06,22050.000000,23050.000000,21525.000000,22750.000000,22018.826172,54377600
2018-05-13,22450.000000,22975.000000,21700.000000,21700.000000,21002.574219,89570000
2018-05-20,21550.000000,22675.000000,21475.000000,22550.000000,21825.255859,73224800
2018-05-27,22500.000000,23000.000000,22400.000000,22700.000000,21970.435547,70377800
2018-06-03,22950.000000,23150.000000,22100.000000,22250.000000,21534.898438,87251600
2018-06-10,22250.000000,22250.000000,22250.000000,22250.000000,21534.898438,0
2018-06-17,22250.000000,22250.000000,21100.000000,21925.000000,21220.345703,88108400
2018-06-24,21925.000000,22475.000000,20825.000000,21475.000000,20784.806641,84374500
2018-07-01,21650.000000,21650.000000,20600.000000,20925.000000,20252.482422,53245400
2018-07-08,21200.000000,23075.000000,21075.000000,23025.000000,22284.988281,89040600
2018-07-15,23050.000000,23200.000000,22525.000000,23100.000000,22357.580078,63202600
2018-07-22,23200.000000,23625.000000,23100.000000,23225.000000,22478.562500,61908000
2018-07-29,23400.000000,23900.000000,22650.000000,23450.000000,22696.332031,56846100
2018-08-05,23400.000000,24100.000000,23400.000000,23875.000000,23107.671875,77675500
2018-08-12,23525.000000,23900.000000,23025.000000,23375.000000,22623.742188,55189100
2018-08-19,23500.000000,25475.000000,23425.000000,25075.000000,24269.103516,82922600
2018-08-26,25100.000000,25350.000000,24475.000000,24800.000000,24002.943359,90034100
2018-09-02,25050.000000,25200.000000,23600.000000,24850.000000,24051.335938,68837200
2018-09-09,24600.000000,24825.000000,23700.000000,23975.000000,23204.458984,64224300
2018-09-16,23750.000000,24250.000000,23700.000000,23700.000000,22938.294922,87798800
2018-09-23,23900.000000,24300.000000,23800.000000,24150.000000,23373.832031,68472900
2018-09-30,24000.000000,24200.000000,22975.000000,23050.000000,22309.187500,57334200
2018-10-07,23075.000000,24125.000000,22475.000000,23250.000000,22502.757813,67699000
2018-10-14,23500.000000,24175.000000,23225.000000,23375.000000,22623.742188,45267600
2018-10-21,23375.000000,23600.000000,22175.000000,23600.000000,22841.511719,71373300
2018-10-28,23300.000000,24175.000000,23100.000000,24000.000000,23228.656250,92861000
2018-11-04,24000.000000,24725.000000,23900.000000,24000.000000,23228.656250,83543600
2018-11-11,24150.000000,24900.000000,23350.000000,24825.000000,24027.138672,83219800
2018-11-18,25000.000000,25450.000000,24700.000000,25100.000000,24293.300781,71288300
2018-11-25,24800.000000,26200.000000,24800.000000,26050.000000,25212.769531,104179000
2018-12-02,26075.000000,26975.000000,25500.000000,25950.000000,25115.982422,88333900
2018-12-09,25600.000000,26025.000000,25600.000000,25825.000000,25076.824219,112915300
2018-12-16,25925.000000,26150.000000,24900.000000,25850.000000,25101.101563,104026500
2018-12-23,25850.000000,26275.000000,25700.000000,26000.000000,25246.753906,34248900
2018-12-30,26000.000000,26000.000000,26000.000000,26000.000000,25246.753906,0
