Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,15550.000000,15650.000000,14800.000000,14825.000000,13140.705078,10592000
2016-10-03,14900.000000,15450.000000,14900.000000,15325.000000,13672.367188,9160200
2016-10-10,15325.000000,15400.000000,14725.000000,15075.000000,13449.327148,8643000
2016-10-17,15100.000000,16025.000000,14600.000000,14600.000000,13025.549805,15469700
2016-10-24,14950.000000,15850.000000,14950.000000,15525.000000,13850.799805,6819800
2016-10-31,15550.000000,15575.000000,14450.000000,14775.000000,13181.678711,9592200
2016-11-07,14825.000000,15900.000000,14750.000000,15725.000000,14029.232422,16359000
2016-11-14,15900.000000,16075.000000,14900.000000,15200.000000,13560.847656,13230800
2016-11-21,15400.000000,16950.000000,14900.000000,16625.000000,14832.175781,17215700
2016-11-28,16625.000000,17475.000000,16350.000000,17300.000000,15434.384766,13952500
2016-12-05,17200.000000,17950.000000,16950.000000,17450.000000,15568.208008,7855700
2016-12-12,17450.000000,17450.000000,16675.000000,17200.000000,15345.167969,4484700
2016-12-19,17350.000000,17400.000000,16150.000000,16300.000000,14542.224609,5106800
2016-12-26,16300.000000,17300.000000,16300.000000,16775.000000,14966.000000,3532900
2017-01-02,16775.000000,17125.000000,16150.000000,16375.000000,14609.135742,5517800
2017-01-09,16425.000000,17200.000000,16350.000000,16800.000000,14988.303711,6305600
2017-01-16,16800.000000,17000.000000,16050.000000,16200.000000,14453.007813,6244400
2017-01-23,16225.000000,16500.000000,15725.000000,15800.000000,14096.143555,6785800
2017-01-30,15925.000000,16275.000000,15725.000000,16000.000000,14274.576172,7556900
2017-02-06,16000.000000,16100.000000,15475.000000,15800.000000,14096.143555,8039800
2017-02-13,15900.000000,15925.000000,15200.000000,15225.000000,13583.150391,5434000
2017-02-20,15300.000000,15400.000000,14675.000000,14975.000000,13360.109375,10577900
2017-02-27,15100.000000,15850.000000,14900.000000,15275.000000,13627.758789,16763300
2017-03-06,15275.000000,15400.000000,15050.000000,15200.000000,13560.847656,4457300
2017-03-13,15200.000000,15400.000000,14975.000000,15250.000000,13605.454102,5174900
2017-03-20,15250.000000,15300.000000,14925.000000,14975.000000,13360.109375,5047900
2017-03-27,14650.000000,15200.000000,14575.000000,14900.000000,13293.198242,5730400
2017-04-03,14900.000000,15075.000000,14550.000000,14650.000000,13070.158203,5190500
2017-04-10,14675.000000,14800.000000,14400.000000,14575.000000,13003.248047,8977300
2017-04-17,14625.000000,14950.000000,14450.000000,14500.000000,12936.333984,10883400
2017-04-24,14500.000000,14650.000000,14350.000000,14400.000000,13516.749023,6520300
2017-05-01,14400.000000,14525.000000,14100.000000,14150.000000,13282.083008,4273000
2017-05-08,14250.000000,14850.000000,14200.000000,14700.000000,13798.347656,7002800
2017-05-15,14850.000000,14850.000000,14225.000000,14800.000000,13892.213867,5949800
2017-05-22,14900.000000,14975.000000,14400.000000,14700.000000,13798.347656,3793700
2017-05-29,14700.000000,14700.000000,14250.000000,14275.000000,13399.416016,3614400
2017-06-05,14300.000000,14450.000000,14225.000000,14225.000000,13352.483398,2272800
2017-06-12,14300.000000,14500.000000,14125.000000,14450.000000,13563.681641,3975300
2017-06-19,14450.000000,14700.000000,14350.000000,14700.000000,13798.347656,5611600
2017-06-26,14700.000000,14700.000000,14700.000000,14700.000000,13798.347656,0
2017-07-03,14700.000000,15300.000000,14700.000000,15100.000000,14173.813477,8977500
2017-07-10,15000.000000,15300.000000,14950.000000,15175.000000,14244.212891,4087500
2017-07-17,15200.000000,15600.000000,15050.000000,15450.000000,14502.345703,6725900
2017-07-24,15400.000000,15450.000000,14475.000000,14575.000000,13681.015625,6011300
2017-07-31,14650.000000,15275.000000,14475.000000,15125.000000,14197.280273,6002200
2017-08-07,15150.000000,15300.000000,14725.000000,15000.000000,14079.947266,5656200
2017-08-14,15000.000000,15025.000000,14825.000000,14850.000000,13939.147461,1588400
2017-08-21,14850.000000,15325.000000,14650.000000,15275.000000,14338.079102,5821000
2017-08-28,15275.000000,15275.000000,14750.000000,14750.000000,13845.281250,1482700
2017-09-04,14750.000000,14975.000000,14650.000000,14950.000000,14033.013672,1452300
2017-09-11,14950.000000,15575.000000,14825.000000,15000.000000,14079.947266,7550600
2017-09-18,15000.000000,15100.000000,14800.000000,14850.000000,13939.147461,2878400
2017-09-25,14900.000000,15000.000000,14775.000000,14875.000000,13962.614258,2481300
2017-10-02,14900.000000,15175.000000,14850.000000,14975.000000,14056.480469,3551500
2017-10-09,14950.000000,15000.000000,14600.000000,14750.000000,13982.786133,2883500
2017-10-16,14800.000000,14800.000000,14450.000000,14800.000000,14030.185547,3665400
2017-10-23,14800.000000,14900.000000,14550.000000,14575.000000,13816.888672,4094600
2017-10-30,14575.000000,14825.000000,14450.000000,14550.000000,13793.189453,3058800
2017-11-06,14625.000000,14725.000000,14525.000000,14600.000000,13840.587891,2625300
2017-11-13,14550.000000,14625.000000,14450.000000,14475.000000,13722.090820,1857200
2017-11-20,14575.000000,14575.000000,14250.000000,14250.000000,13508.792969,2365500
2017-11-27,14325.000000,14475.000000,13800.000000,13850.000000,13129.598633,3360500
2017-12-04,13925.000000,13975.000000,12850.000000,12950.000000,12276.412109,5294300
2017-12-11,13000.000000,13300.000000,12700.000000,13300.000000,12608.207031,2833400
2017-12-18,13300.000000,13500.000000,12900.000000,12950.000000,12276.412109,2899200
2017-12-25,12950.000000,13375.000000,12950.000000,13150.000000,12466.009766,1306000
2018-01-01,13150.000000,13325.000000,12875.000000,12950.000000,12276.412109,2818900
2018-01-08,13000.000000,14000.000000,12975.000000,13325.000000,12631.906250,10494800
2018-01-15,13325.000000,13500.000000,12975.000000,12975.000000,12300.111328,9826200
2018-01-22,13000.000000,13325.000000,12825.000000,13100.000000,12418.610352,17386800
2018-01-29,13200.000000,13550.000000,12775.000000,13000.000000,12323.811523,22806500
2018-02-05,13150.000000,13150.000000,12575.000000,12900.000000,12229.012695,8426200
2018-02-12,13000.000000,13500.000000,13000.000000,13375.000000,12679.305664,7531800
2018-02-19,13400.000000,14125.000000,13150.000000,13775.000000,13058.500000,14513300
2018-02-26,13800.000000,15175.000000,13775.000000,14900.000000,14124.984375,14970000
2018-03-05,14900.000000,15000.000000,14000.000000,14300.000000,13556.192383,7808200
2018-03-12,14325.000000,14500.000000,12975.000000,12975.000000,12300.111328,5539500
2018-03-19,12975.000000,14125.000000,12975.000000,13750.000000,13034.799805,6618100
2018-03-26,13550.000000,13925.000000,13475.000000,13475.000000,12774.104492,927900
2018-04-02,13700.000000,14000.000000,13425.000000,13425.000000,12726.705078,4091200
2018-04-09,13500.000000,14050.000000,13500.000000,13750.000000,13034.799805,3221600
2018-04-16,13750.000000,13750.000000,13400.000000,13550.000000,12845.204102,306100
2018-04-23,13425.000000,13425.000000,12750.000000,12875.000000,12497.993164,1567700
2018-04-30,12600.000000,12900.000000,11700.000000,11700.000000,11357.400391,2448900
2018-05-07,11950.000000,12525.000000,11650.000000,12500.000000,12133.974609,2530800
2018-05-14,12475.000000,12575.000000,11750.000000,12500.000000,12133.974609,3130900
2018-05-21,12500.000000,13150.000000,12425.000000,12700.000000,12328.118164,6419300
2018-05-28,12700.000000,12750.000000,12175.000000,12550.000000,12182.510742,1948100
2018-06-04,12550.000000,12550.000000,11800.000000,11900.000000,11551.543945,4933700
2018-06-11,11900.000000,11900.000000,11900.000000,11900.000000,11551.543945,0
2018-06-18,11900.000000,11900.000000,11225.000000,11500.000000,11163.256836,2793500
2018-06-25,11500.000000,11900.000000,11125.000000,11200.000000,10872.041016,2434300
2018-07-02,11200.000000,11450.000000,10550.000000,10775.000000,10459.486328,1868400
2018-07-09,10775.000000,10925.000000,10325.000000,10350.000000,10046.930664,3409700
2018-07-16,10400.000000,10800.000000,10125.000000,10650.000000,10338.146484,5839100
2018-07-23,10650.000000,11175.000000,10600.000000,11000.000000,10677.897461,11133500
2018-07-30,11000.000000,12550.000000,10800.000000,12350.000000,11988.367188,10411300
2018-08-06,12300.000000,13300.000000,12000.000000,12275.000000,11915.562500,9662800
2018-08-13,12275.000000,13325.000000,11575.000000,12900.000000,12522.261719,6192800
2018-08-20,12900.000000,13800.000000,12550.000000,13575.000000,13177.496094,7841500
2018-08-27,13575.000000,13625.000000,12700.000000,13500.000000,13104.692383,13024200
2018-09-03,13300.000000,13650.000000,12625.000000,13150.000000,12764.941406,9130000
2018-09-10,13150.000000,13675.000000,12900.000000,13000.000000,12619.333008,4475600
2018-09-17,13000.000000,13100.000000,12000.000000,12250.000000,11891.294922,5974700
2018-09-24,12300.000000,12400.000000,11900.000000,12400.000000,12036.902344,4840500
2018-10-01,12400.000000,12425.000000,11600.000000,11850.000000,11503.007813,4160400
2018-10-08,11850.000000,11950.000000,11450.000000,11575.000000,11343.500000,2918500
2018-10-15,11600.000000,12225.000000,11025.000000,11950.000000,11711.000000,6161500
2018-10-22,11950.000000,12250.000000,11400.000000,11750.000000,11515.000000,1834900
2018-10-29,11875.000000,12000.000000,11450.000000,11725.000000,11490.500000,1797800
2018-11-05,11775.000000,11850.000000,11025.000000,11225.000000,11000.500000,2898800
2018-11-12,11150.000000,11225.000000,10100.000000,10800.000000,10584.000000,5732900
2018-11-19,10800.000000,11100.000000,10200.000000,11000.000000,10780.000000,5356200
2018-11-26,11000.000000,11175.000000,10600.000000,10975.000000,10755.500000,3074800
2018-12-03,11000.000000,11825.000000,10875.000000,11450.000000,11221.000000,7357700
2018-12-10,11475.000000,11950.000000,11425.000000,11875.000000,11637.500000,2719700
2018-12-17,11875.000000,12750.000000,11700.000000,12500.000000,12250.000000,6552800
2018-12-24,12500.000000,12500.000000,11350.000000,11825.000000,11588.500000,2010100
2018-12-31,11825.000000,12225.000000,11575.000000,12150.000000,11907.000000,1956400
2019-01-07,12200.000000,12600.000000,12175.000000,12425.000000,12176.500000,3280000
2019-01-14,12425.000000,12675.000000,12100.000000,12100.000000,11858.000000,3473700
2019-01-21,12350.000000,13975.000000,12100.000000,13775.000000,13499.500000,10169700
2019-01-28,13700.000000,14400.000000,13675.000000,14100.000000,13818.000000,6860800
2019-02-04,14000.000000,14200.000000,13550.000000,13725.000000,13450.500000,3277700
2019-02-11,13725.000000,13800.000000,12975.000000,13600.000000,13328.000000,4419000
2019-02-18,13600.000000,13975.000000,13450.000000,13600.000000,13328.000000,3562600
2019-02-25,13600.000000,13625.000000,12375.000000,12525.000000,12274.500000,3905900
2019-03-04,12600.000000,12900.000000,12475.000000,12500.000000,12250.000000,1202700
2019-03-11,12550.000000,12700.000000,12225.000000,12500.000000,12250.000000,1270300
2019-03-18,12550.000000,12600.000000,11675.000000,11800.000000,11564.000000,3117600
2019-03-25,11775.000000,11775.000000,11225.000000,11250.000000,11025.000000,2495000
2019-04-01,11300.000000,12500.000000,11275.000000,12400.000000,12152.000000,3912700
2019-04-08,12450.000000,12475.000000,12100.000000,12175.000000,11931.500000,1303900
2019-04-15,12400.000000,12425.000000,12000.000000,12175.000000,11931.500000,1219400
2019-04-22,12175.000000,12225.000000,10525.000000,10625.000000,10412.500000,10370100
2019-04-29,10625.000000,11000.000000,10625.000000,10900.000000,10900.000000,3780500
2019-05-06,10900.000000,10900.000000,10400.000000,10500.000000,10500.000000,3416800
2019-05-13,10500.000000,10725.000000,10000.000000,10350.000000,10350.000000,4761400
2019-05-20,10350.000000,10500.000000,10150.000000,10450.000000,10450.000000,2173600
2019-05-27,10500.000000,10575.000000,10300.000000,10550.000000,10550.000000,1449600
2019-06-03,10550.000000,10550.000000,10550.000000,10550.000000,10550.000000,0
2019-06-10,10550.000000,10650.000000,10150.000000,10275.000000,10275.000000,2069600
2019-06-17,10275.000000,10575.000000,10200.000000,10350.000000,10350.000000,3229400
2019-06-24,10350.000000,10500.000000,10250.000000,10400.000000,10400.000000,3294900
2019-07-01,10500.000000,10975.000000,10350.000000,10375.000000,10375.000000,5737400
2019-07-08,10375.000000,10750.000000,10100.000000,10150.000000,10150.000000,4515000
2019-07-15,10150.000000,10300.000000,10125.000000,10125.000000,10125.000000,2441200
2019-07-22,10150.000000,10275.000000,10025.000000,10075.000000,10075.000000,2815400
2019-07-29,10075.000000,10100.000000,9750.000000,9800.000000,9800.000000,4080900
2019-08-05,9800.000000,10650.000000,9500.000000,10550.000000,10550.000000,8117700
2019-08-12,10550.000000,11250.000000,10350.000000,10950.000000,10950.000000,14254000
2019-08-19,10950.000000,10950.000000,10250.000000,10650.000000,10650.000000,3207300
2019-08-26,10300.000000,10950.000000,10125.000000,10500.000000,10500.000000,4095600
2019-09-02,10500.000000,10700.000000,10350.000000,10400.000000,10400.000000,2535300
2019-09-09,10400.000000,10600.000000,10325.000000,10475.000000,10475.000000,1742200
2019-09-16,10550.000000,11400.000000,10550.000000,10925.000000,10925.000000,8820000
2019-09-23,10925.000000,11075.000000,10350.000000,10550.000000,10550.000000,1988900
2019-09-30,10550.000000,11100.000000,10550.000000,10750.000000,10750.000000,2940000
2019-10-07,10800.000000,11000.000000,10625.000000,10725.000000,10725.000000,1389800
2019-10-14,10900.000000,10925.000000,10150.000000,10150.000000,10150.000000,2324000
2019-10-21,10250.000000,11300.000000,10200.000000,10900.000000,10900.000000,5498300
2019-10-28,10900.000000,11625.000000,10800.000000,11325.000000,11325.000000,4247400
2019-11-04,11400.000000,12950.000000,11300.000000,12600.000000,12600.000000,7807900
2019-11-11,12500.000000,12925.000000,11975.000000,12200.000000,12200.000000,7030900
2019-11-18,12200.000000,13275.000000,11975.000000,13125.000000,13125.000000,5419600
2019-11-25,13300.000000,13400.000000,12025.000000,12600.000000,12600.000000,4690800
2019-12-02,12625.000000,13575.000000,12450.000000,13575.000000,13575.000000,4251100
2019-12-09,13625.000000,13800.000000,13100.000000,13425.000000,13425.000000,5092100
2019-12-16,13425.000000,13675.000000,13100.000000,13525.000000,13525.000000,3327800
2019-12-23,13575.000000,14525.000000,13525.000000,14500.000000,14500.000000,5406000
2019-12-30,14500.000000,14675.000000,14025.000000,14100.000000,14100.000000,3284100
2020-01-06,14100.000000,14100.000000,13200.000000,13675.000000,13675.000000,5840400
2020-01-13,13675.000000,13900.000000,12525.000000,12875.000000,12875.000000,6768400
2020-01-20,12900.000000,13000.000000,12025.000000,12075.000000,12075.000000,4160400
2020-01-27,12075.000000,12075.000000,10750.000000,11875.000000,11875.000000,5347300
2020-02-03,11800.000000,12225.000000,11150.000000,12050.000000,12050.000000,3660800
2020-02-10,12000.000000,12000.000000,11000.000000,11100.000000,11100.000000,2842100
2020-02-17,11125.000000,11350.000000,10700.000000,10825.000000,10825.000000,2147700
2020-02-24,10825.000000,10850.000000,9525.000000,9800.000000,9800.000000,3060600
2020-03-02,9800.000000,10200.000000,9375.000000,9700.000000,9700.000000,4639700
2020-03-09,9500.000000,9500.000000,6850.000000,6850.000000,6850.000000,7624600
